AraraClayton,AntonioPulcherio,Cascalho,Adriano1,Moschen1,Daniel,Cecilia1,Arthur2,Arthur,Cecilia2,Eliane,Eliane2,CorreVento,Adriano2,FlavioCoelho,Gabriel,Fernanda,AleaJactaEst,FlavioCCoelho,Adriano3,Gabrielp
445.0,411.0,429.0,420.0,416.0,429.0,414.0,416.0,419.0,423.0,436.0,410.0,426.0,423.0,433.0,433.0,407.0,417.0,416.0,411.0,442.0
403.0,392.0,403.0,421.0,397.0,412.0,402.0,388.0,392.0,398.0,411.0,368.0,403.0,422.0,411.0,404.0,379.0,390.0,374.0,406.0,410.0
426.0,420.0,436.0,442.0,413.0,448.0,434.0,421.0,422.0,421.0,428.0,374.0,424.0,447.0,429.0,418.0,423.0,406.0,381.0,437.0,418.0
447.0,444.0,464.0,473.0,452.0,461.0,453.0,457.0,449.0,441.0,432.0,372.0,449.0,480.0,438.0,427.0,447.0,402.0,382.0,458.0,424.0
427.0,424.0,457.0,469.0,425.0,446.0,437.0,447.0,441.0,430.0,408.0,336.0,435.0,459.0,416.0,408.0,440.0,373.0,337.0,450.0,405.0
404.0,405.0,431.0,457.0,418.0,423.0,414.0,428.0,431.0,407.0,386.0,297.0,413.0,449.0,394.0,389.0,417.0,337.0,298.0,427.0,383.0
387.0,392.0,418.0,439.0,388.0,412.0,398.0,424.0,422.0,396.0,368.0,258.0,395.0,428.0,375.0,369.0,407.0,308.0,262.0,411.0,363.0
367.0,375.0,394.0,425.0,390.0,376.0,375.0,414.0,404.0,382.0,345.0,225.0,378.0,418.0,353.0,359.0,387.0,277.0,220.0,391.0,347.0
400.0,408.0,418.0,447.0,400.0,411.0,392.0,445.0,439.0,405.0,359.0,229.0,410.0,437.0,374.0,383.0,404.0,287.0,221.0,420.0,377.0
415.0,443.0,438.0,474.0,430.0,431.0,411.0,465.0,465.0,426.0,370.0,230.0,431.0,464.0,380.0,398.0,420.0,294.0,216.0,437.0,392.0
437.0,473.0,468.0,493.0,443.0,462.0,424.0,505.0,502.0,459.0,382.0,234.0,458.0,480.0,395.0,413.0,443.0,303.0,214.0,469.0,413.0
452.0,503.0,492.0,510.0,476.0,476.0,431.0,522.0,529.0,482.0,396.0,229.0,475.0,510.0,410.0,428.0,463.0,309.0,215.0,495.0,431.0
439.0,495.0,480.0,488.0,455.0,465.0,404.0,513.0,521.0,462.0,370.0,196.0,467.0,482.0,391.0,412.0,450.0,288.0,176.0,485.0,415.0
421.0,486.0,461.0,480.0,448.0,438.0,377.0,499.0,506.0,436.0,344.0,160.0,450.0,466.0,366.0,381.0,421.0,264.0,131.0,468.0,387.0
414.0,472.0,450.0,455.0,427.0,429.0,356.0,486.0,495.0,422.0,321.0,124.0,441.0,438.0,347.0,365.0,405.0,242.0,95.0,449.0,377.0
401.0,462.0,437.0,444.0,420.0,390.0,326.0,470.0,488.0,405.0,297.0,88.0,426.0,422.0,319.0,340.0,376.0,214.0,53.0,429.0,361.0
435.0,484.0,469.0,459.0,430.0,415.0,345.0,505.0,514.0,431.0,322.0,92.0,446.0,449.0,337.0,360.0,400.0,222.0,57.0,460.0,378.0
462.0,517.0,494.0,485.0,466.0,440.0,352.0,528.0,539.0,460.0,341.0,87.0,469.0,458.0,352.0,380.0,417.0,234.0,55.0,486.0,404.0
492.0,547.0,522.0,503.0,479.0,469.0,371.0,549.0,572.0,483.0,357.0,91.0,495.0,494.0,373.0,406.0,438.0,246.0,53.0,507.0,427.0
480.0,534.0,512.0,483.0,481.0,452.0,344.0,539.0,554.0,457.0,328.0,55.0,480.0,460.0,348.0,383.0,421.0,213.0,11.0,494.0,407.0
466.0,528.0,502.0,462.0,454.0,442.0,323.0,518.0,545.0,440.0,308.0,16.0,465.0,459.0,323.0,369.0,408.0,177.0,-25.0,476.0,384.0
488.0,560.0,528.0,481.0,493.0,452.0,330.0,539.0,570.0,454.0,322.0,15.0,480.0,472.0,332.0,386.0,432.0,179.0,0.0,495.0,401.0
475.0,538.0,511.0,474.0,472.0,434.0,302.0,517.0,559.0,439.0,307.0,-24.0,464.0,458.0,306.0,365.0,412.0,151.0,0.0,480.0,383.0
466.0,519.0,496.0,451.0,478.0,404.0,285.0,504.0,548.0,433.0,291.0,0.0,443.0,436.0,288.0,349.0,397.0,120.0,0.0,470.0,361.0
449.0,493.0,470.0,440.0,457.0,384.0,259.0,495.0,530.0,418.0,272.0,0.0,424.0,424.0,261.0,324.0,385.0,92.0,0.0,459.0,345.0
469.0,523.0,491.0,465.0,493.0,396.0,260.0,519.0,553.0,433.0,283.0,0.0,439.0,428.0,273.0,341.0,394.0,94.0,0.0,473.0,362.0
495.0,541.0,510.0,478.0,508.0,424.0,272.0,538.0,583.0,451.0,300.0,0.0,450.0,455.0,291.0,355.0,417.0,95.0,0.0,493.0,379.0
523.0,562.0,535.0,497.0,544.0,436.0,285.0,559.0,603.0,469.0,311.0,0.0,465.0,462.0,303.0,363.0,434.0,98.0,0.0,513.0,381.0
547.0,584.0,560.0,520.0,565.0,439.0,303.0,586.0,626.0,484.0,328.0,0.0,480.0,483.0,324.0,374.0,456.0,103.0,0.0,542.0,389.0
573.0,604.0,575.0,527.0,607.0,455.0,307.0,611.0,652.0,505.0,342.0,0.0,497.0,487.0,342.0,388.0,481.0,104.0,0.0,559.0,403.0
598.0,635.0,585.0,547.0,619.0,474.0,319.0,630.0,674.0,520.0,359.0,0.0,509.0,511.0,360.0,393.0,497.0,107.0,0.0,576.0,408.0
589.0,617.0,566.0,515.0,619.0,456.0,299.0,613.0,661.0,496.0,337.0,0.0,485.0,502.0,330.0,362.0,478.0,74.0,0.0,554.0,380.0
614.0,640.0,579.0,534.0,637.0,480.0,312.0,641.0,679.0,520.0,360.0,0.0,502.0,515.0,348.0,373.0,504.0,85.0,0.0,577.0,391.0
598.0,624.0,559.0,511.0,628.0,460.0,292.0,626.0,663.0,505.0,338.0,0.0,477.0,503.0,321.0,342.0,482.0,50.0,0.0,561.0,363.0
595.0,616.0,547.0,485.0,607.0,427.0,275.0,628.0,656.0,496.0,322.0,0.0,464.0,481.0,306.0,323.0,469.0,21.0,0.0,548.0,341.0
614.0,637.0,556.0,501.0,634.0,440.0,288.0,650.0,672.0,511.0,336.0,0.0,475.0,499.0,315.0,325.0,483.0,20.0,0.0,565.0,340.0
636.0,659.0,575.0,526.0,655.0,461.0,301.0,672.0,701.0,532.0,344.0,0.0,493.0,506.0,333.0,336.0,506.0,29.0,0.0,591.0,351.0
621.0,638.0,551.0,497.0,649.0,440.0,278.0,660.0,683.0,511.0,319.0,0.0,474.0,500.0,306.0,308.0,493.0,-8.0,0.0,572.0,317.0
606.0,617.0,532.0,482.0,634.0,424.0,257.0,644.0,674.0,493.0,308.0,0.0,456.0,479.0,284.0,286.0,479.0,0.0,0.0,553.0,295.0
622.0,631.0,547.0,504.0,667.0,425.0,269.0,661.0,695.0,506.0,319.0,0.0,470.0,500.0,299.0,295.0,490.0,0.0,0.0,573.0,304.0
647.0,647.0,560.0,511.0,686.0,449.0,279.0,682.0,721.0,531.0,339.0,0.0,483.0,527.0,311.0,301.0,507.0,0.0,0.0,584.0,310.0
664.0,677.0,573.0,537.0,716.0,467.0,280.0,699.0,735.0,550.0,350.0,0.0,496.0,531.0,320.0,304.0,529.0,0.0,0.0,595.0,316.0
680.0,691.0,590.0,557.0,735.0,482.0,284.0,714.0,753.0,566.0,365.0,0.0,512.0,555.0,329.0,310.0,548.0,0.0,0.0,612.0,322.0
693.0,709.0,612.0,573.0,774.0,500.0,294.0,734.0,769.0,594.0,374.0,0.0,521.0,559.0,338.0,316.0,567.0,0.0,0.0,632.0,328.0
680.0,682.0,592.0,559.0,753.0,478.0,273.0,720.0,750.0,582.0,357.0,0.0,510.0,546.0,316.0,285.0,549.0,0.0,0.0,614.0,297.0
666.0,666.0,571.0,537.0,749.0,460.0,246.0,710.0,740.0,564.0,334.0,0.0,485.0,527.0,294.0,254.0,537.0,0.0,0.0,600.0,263.0
653.0,652.0,559.0,526.0,731.0,424.0,219.0,702.0,721.0,549.0,320.0,0.0,466.0,514.0,281.0,226.0,522.0,0.0,0.0,589.0,235.0
637.0,632.0,543.0,509.0,733.0,406.0,192.0,686.0,704.0,528.0,297.0,0.0,452.0,492.0,250.0,189.0,501.0,0.0,0.0,568.0,198.0
658.0,635.0,568.0,515.0,752.0,422.0,206.0,708.0,717.0,548.0,314.0,0.0,468.0,516.0,265.0,189.0,526.0,0.0,0.0,585.0,201.0
678.0,653.0,586.0,538.0,785.0,435.0,210.0,727.0,741.0,567.0,327.0,0.0,476.0,519.0,271.0,189.0,539.0,0.0,0.0,590.0,204.0
704.0,672.0,607.0,547.0,798.0,451.0,226.0,749.0,761.0,583.0,343.0,0.0,485.0,549.0,283.0,192.0,561.0,0.0,0.0,607.0,207.0
695.0,658.0,593.0,536.0,800.0,418.0,199.0,737.0,750.0,565.0,322.0,0.0,468.0,525.0,267.0,158.0,543.0,0.0,0.0,589.0,176.0
690.0,642.0,578.0,517.0,788.0,400.0,175.0,721.0,736.0,547.0,307.0,0.0,450.0,518.0,245.0,124.0,525.0,0.0,0.0,568.0,142.0
677.0,616.0,556.0,503.0,787.0,382.0,151.0,706.0,720.0,535.0,289.0,0.0,433.0,496.0,217.0,87.0,507.0,0.0,0.0,550.0,111.0
697.0,638.0,570.0,515.0,800.0,404.0,158.0,717.0,739.0,554.0,305.0,0.0,454.0,526.0,235.0,87.0,532.0,0.0,0.0,566.0,114.0
721.0,659.0,583.0,538.0,842.0,402.0,168.0,743.0,765.0,576.0,318.0,0.0,471.0,536.0,241.0,93.0,545.0,0.0,0.0,585.0,117.0
718.0,645.0,566.0,516.0,824.0,387.0,147.0,726.0,747.0,561.0,303.0,0.0,452.0,532.0,219.0,62.0,527.0,0.0,0.0,564.0,89.0
706.0,623.0,545.0,505.0,820.0,375.0,123.0,710.0,729.0,546.0,285.0,0.0,434.0,510.0,200.0,28.0,512.0,0.0,0.0,543.0,55.0
696.0,607.0,522.0,500.0,799.0,357.0,102.0,690.0,719.0,528.0,267.0,0.0,419.0,497.0,178.0,-6.0,491.0,0.0,0.0,522.0,21.0
687.0,593.0,503.0,474.0,791.0,341.0,81.0,676.0,699.0,515.0,251.0,0.0,401.0,477.0,155.0,0.0,482.0,0.0,0.0,507.0,-16.0
674.0,573.0,487.0,463.0,761.0,308.0,62.0,659.0,690.0,498.0,237.0,0.0,387.0,465.0,143.0,0.0,466.0,0.0,0.0,486.0,0.0
690.0,582.0,498.0,472.0,782.0,320.0,72.0,674.0,712.0,517.0,250.0,0.0,397.0,471.0,155.0,0.0,480.0,0.0,0.0,501.0,0.0
678.0,561.0,479.0,461.0,752.0,301.0,55.0,654.0,696.0,506.0,230.0,0.0,386.0,456.0,137.0,0.0,461.0,0.0,0.0,474.0,0.0
669.0,538.0,459.0,450.0,743.0,284.0,39.0,645.0,677.0,495.0,210.0,0.0,372.0,420.0,113.0,0.0,439.0,0.0,0.0,450.0,0.0
654.0,520.0,441.0,436.0,716.0,267.0,19.0,628.0,658.0,478.0,190.0,0.0,354.0,402.0,98.0,0.0,426.0,0.0,0.0,426.0,0.0
640.0,501.0,423.0,412.0,704.0,246.0,-2.0,616.0,629.0,458.0,164.0,0.0,333.0,393.0,80.0,0.0,410.0,0.0,0.0,402.0,0.0
629.0,488.0,409.0,403.0,674.0,237.0,0.0,601.0,615.0,444.0,149.0,0.0,322.0,368.0,67.0,0.0,399.0,0.0,0.0,386.0,0.0
615.0,468.0,391.0,379.0,664.0,219.0,0.0,578.0,595.0,430.0,131.0,0.0,304.0,352.0,48.0,0.0,379.0,0.0,0.0,364.0,0.0
629.0,490.0,401.0,392.0,671.0,238.0,0.0,590.0,618.0,453.0,147.0,0.0,317.0,352.0,60.0,0.0,396.0,0.0,0.0,373.0,0.0
617.0,469.0,383.0,371.0,652.0,217.0,0.0,566.0,603.0,436.0,126.0,0.0,303.0,336.0,41.0,0.0,373.0,0.0,0.0,342.0,0.0
612.0,452.0,380.0,349.0,631.0,187.0,0.0,552.0,590.0,419.0,114.0,0.0,294.0,326.0,25.0,0.0,362.0,0.0,0.0,326.0,0.0
600.0,432.0,370.0,340.0,624.0,172.0,0.0,538.0,571.0,405.0,93.0,0.0,277.0,295.0,9.0,0.0,342.0,0.0,0.0,301.0,0.0
609.0,442.0,378.0,353.0,628.0,185.0,0.0,552.0,585.0,419.0,100.0,0.0,293.0,313.0,15.0,0.0,359.0,0.0,0.0,310.0,0.0
625.0,452.0,387.0,366.0,652.0,198.0,0.0,564.0,598.0,439.0,110.0,0.0,303.0,316.0,30.0,0.0,367.0,0.0,0.0,322.0,0.0
645.0,463.0,396.0,382.0,653.0,211.0,0.0,582.0,613.0,447.0,123.0,0.0,311.0,334.0,39.0,0.0,378.0,0.0,0.0,328.0,0.0
623.0,446.0,380.0,371.0,640.0,172.0,0.0,571.0,597.0,439.0,108.0,0.0,296.0,318.0,20.0,0.0,363.0,0.0,0.0,315.0,0.0
636.0,455.0,399.0,380.0,653.0,194.0,0.0,589.0,614.0,456.0,121.0,0.0,315.0,324.0,35.0,0.0,380.0,0.0,0.0,336.0,0.0
622.0,431.0,377.0,369.0,643.0,176.0,0.0,567.0,598.0,442.0,100.0,0.0,295.0,311.0,22.0,0.0,362.0,0.0,0.0,308.0,0.0
610.0,424.0,366.0,355.0,619.0,155.0,0.0,555.0,590.0,426.0,88.0,0.0,287.0,289.0,6.0,0.0,341.0,0.0,0.0,280.0,0.0
593.0,399.0,349.0,330.0,615.0,146.0,0.0,538.0,581.0,396.0,67.0,0.0,265.0,282.0,-10.0,0.0,326.0,0.0,0.0,258.0,0.0
607.0,422.0,358.0,346.0,623.0,153.0,0.0,551.0,593.0,410.0,80.0,0.0,280.0,285.0,0.0,0.0,337.0,0.0,0.0,270.0,0.0
626.0,437.0,370.0,367.0,638.0,152.0,0.0,566.0,599.0,421.0,87.0,0.0,294.0,297.0,0.0,0.0,345.0,0.0,0.0,282.0,0.0
619.0,424.0,352.0,350.0,611.0,141.0,0.0,558.0,592.0,406.0,77.0,0.0,282.0,283.0,0.0,0.0,333.0,0.0,0.0,259.0,0.0
608.0,405.0,331.0,342.0,603.0,124.0,0.0,544.0,583.0,394.0,61.0,0.0,264.0,260.0,0.0,0.0,309.0,0.0,0.0,233.0,0.0
630.0,418.0,348.0,354.0,611.0,139.0,0.0,563.0,602.0,411.0,71.0,0.0,282.0,269.0,0.0,0.0,314.0,0.0,0.0,245.0,0.0
618.0,400.0,332.0,343.0,606.0,118.0,0.0,550.0,592.0,393.0,52.0,0.0,272.0,249.0,0.0,0.0,293.0,0.0,0.0,225.0,0.0
613.0,388.0,316.0,326.0,588.0,104.0,0.0,545.0,585.0,381.0,36.0,0.0,268.0,233.0,0.0,0.0,277.0,0.0,0.0,211.0,0.0
627.0,399.0,322.0,347.0,606.0,111.0,0.0,552.0,601.0,386.0,43.0,0.0,278.0,234.0,0.0,0.0,284.0,0.0,0.0,217.0,0.0
624.0,391.0,315.0,336.0,588.0,87.0,0.0,544.0,599.0,383.0,33.0,0.0,266.0,221.0,0.0,0.0,274.0,0.0,0.0,206.0,0.0
612.0,378.0,295.0,325.0,583.0,72.0,0.0,536.0,583.0,362.0,14.0,0.0,253.0,201.0,0.0,0.0,256.0,0.0,0.0,177.0,0.0
633.0,393.0,311.0,331.0,597.0,84.0,0.0,552.0,598.0,374.0,24.0,0.0,274.0,211.0,0.0,0.0,266.0,0.0,0.0,189.0,0.0
650.0,398.0,321.0,358.0,609.0,93.0,0.0,565.0,607.0,385.0,37.0,0.0,280.0,218.0,0.0,0.0,276.0,0.0,0.0,198.0,0.0
648.0,388.0,305.0,335.0,594.0,83.0,0.0,561.0,593.0,373.0,24.0,0.0,267.0,202.0,0.0,0.0,263.0,0.0,0.0,181.0,0.0
635.0,372.0,285.0,333.0,577.0,57.0,0.0,545.0,575.0,364.0,8.0,0.0,253.0,186.0,0.0,0.0,247.0,0.0,0.0,164.0,0.0
657.0,389.0,295.0,348.0,588.0,66.0,0.0,563.0,588.0,378.0,18.0,0.0,266.0,196.0,0.0,0.0,257.0,0.0,0.0,176.0,0.0
673.0,394.0,302.0,369.0,609.0,73.0,0.0,574.0,593.0,395.0,25.0,0.0,283.0,200.0,0.0,0.0,261.0,0.0,0.0,182.0,0.0
659.0,381.0,289.0,370.0,594.0,46.0,0.0,571.0,585.0,389.0,12.0,0.0,274.0,178.0,0.0,0.0,245.0,0.0,0.0,174.0,0.0
681.0,395.0,299.0,370.0,615.0,56.0,0.0,584.0,599.0,403.0,22.0,0.0,292.0,188.0,0.0,0.0,252.0,0.0,0.0,183.0,0.0
701.0,409.0,312.0,393.0,620.0,70.0,0.0,604.0,610.0,417.0,35.0,0.0,307.0,201.0,0.0,0.0,259.0,0.0,0.0,189.0,0.0
690.0,399.0,299.0,370.0,609.0,57.0,0.0,587.0,597.0,402.0,19.0,0.0,295.0,188.0,0.0,0.0,246.0,0.0,0.0,175.0,0.0
